,2000m,2000m ave,60min ave med,60min ave max,60min ave min
53,6:53,1:43.2,1:58.6,1:56.3,1:59.8
54,6:54,1:43.5,1:58.9,1:56.6,2:00.1
55,6:55,1:43.8,1:59.2,1:56.8,2:00.4
56,6:56,1:44.0,1:59.4,1:57.1,2:00.7
57,6:57,1:44.2,1:59.7,1:57.4,2:01.0
58,6:58,1:44.5,2:00.0,1:57.7,2:01.3
59,6:59,1:44.8,2:00.3,1:58.0,2:01.6
60,7:00,1:45.0,2:00.6,1:58.3,2:01.8
61,7:01,1:45.2,2:00.9,1:58.5,2:02.1
62,7:02,1:45.5,2:01.2,1:58.8,2:02.4
63,7:03,1:45.8,2:01.5,1:59.1,2:02.7
64,7:04,1:46.0,2:01.7,1:59.4,2:03.0
65,7:05,1:46.2,2:02.0,1:59.7,2:03.3
66,7:06,1:46.5,2:02.3,1:59.9,2:03.6
67,7:07,1:46.8,2:02.6,2:00.2,2:03.9
68,7:08,1:47.0,2:02.9,2:00.5,2:04.2
69,7:09,1:47.2,2:03.2,2:00.8,2:04.5
70,7:10,1:47.5,2:03.5,2:01.1,2:04.7
71,7:11,1:47.8,2:03.8,2:01.4,2:05.0
72,7:12,1:48.0,2:04.0,2:01.6,2:05.3
73,7:13,1:48.2,2:04.3,2:01.9,2:05.6
74,7:14,1:48.5,2:04.6,2:02.2,2:05.9
75,7:15,1:48.8,2:04.9,2:02.5,2:06.2
76,7:16,1:49.0,2:05.2,2:02.8,2:06.5
77,7:17,1:49.2,2:05.5,2:03.0,2:06.8
78,7:18,1:49.5,2:05.8,2:03.3,2:07.1
79,7:19,1:49.8,2:06.1,2:03.6,2:07.4
80,7:20,1:50.0,2:06.3,2:03.9,2:07.6
81,7:21,1:50.2,2:06.6,2:04.2,2:07.9
82,7:22,1:50.5,2:06.9,2:04.5,2:08.2
83,7:23,1:50.8,2:07.2,2:04.7,2:08.5
84,7:24,1:51.0,2:07.5,2:05.0,2:08.8
85,7:25,1:51.2,2:07.8,2:05.3,2:09.1
86,7:26,1:51.5,2:08.1,2:05.6,2:09.4
87,7:27,1:51.8,2:08.4,2:05.9,2:09.7
88,7:28,1:52.0,2:08.6,2:06.1,2:10.0
89,7:29,1:52.2,2:08.9,2:06.4,2:10.3
90,7:30,1:52.5,2:09.2,2:06.7,2:10.5
91,7:31,1:52.8,2:09.5,2:07.0,2:10.8
92,7:32,1:53.0,2:09.8,2:07.3,2:11.1
93,7:33,1:53.2,2:10.1,2:07.5,2:11.4
94,7:34,1:53.5,2:10.4,2:07.8,2:11.7
95,7:35,1:53.8,2:10.6,2:08.1,2:12.0
96,7:36,1:54.0,2:10.9,2:08.4,2:12.3
97,7:37,1:54.2,2:11.2,2:08.7,2:12.6
